seed,weight_decay,grokked,final_test_acc,n_epochs_run,elapsed_s
0,0.0,False,0.47311368584632874,7499,1305.3482284545898
1,0.0,False,0.2686503529548645,7499,1324.608605146408
2,0.0,True,0.9691817164421082,7499,1328.8508894443512
3,0.0,False,0.49798086285591125,7499,1266.2465689182281
4,0.0,False,0.48671624064445496,7499,1166.0007166862488
5,0.0,False,0.4575982987880707,7499,1132.3502833843231
6,0.0,False,0.44208288192749023,7499,1147.405555486679
7,0.0,False,0.4031880795955658,7499,1128.9551045894623
8,0.0,False,0.3963868021965027,7499,1114.5830233097076
9,0.0,False,0.4571731984615326,7499,1277.216682434082
0,0.01,False,0.6482465267181396,7499,1266.9704904556274
1,0.01,False,0.5007438659667969,7499,1354.9053702354431
2,0.01,True,0.9902231693267822,7440,1328.507886171341
3,0.01,False,0.7071200609207153,7499,1318.4554586410522
4,0.01,True,0.9566418528556824,7499,1321.0913195610046
5,0.01,False,0.8737512826919556,7499,1325.2142715454102
6,0.01,False,0.672476053237915,7499,1304.419009923935
7,0.01,False,0.5651434659957886,7499,1291.5741155147552
8,0.01,False,0.41339001059532166,7499,1266.1899378299713
9,0.01,False,0.5500531196594238,7499,1347.0646271705627
0,0.03,True,0.9953240752220154,4450,775.0055749416351
1,0.03,True,0.9968118667602539,4660,855.2101490497589
2,0.03,True,0.9900106191635132,4360,777.3097364902496
3,0.03,True,1.0,4790,900.7279398441315
4,0.03,True,0.9902231693267822,3370,611.113775730133
5,0.03,True,0.9900106191635132,3140,598.0794949531555
6,0.03,True,0.9904356598854065,5600,1009.4511280059814
7,0.03,True,0.9925611019134521,4620,834.0715801715851
8,0.03,True,0.9902231693267822,5130,930.2788367271423
9,0.03,True,0.9906482100486755,5000,901.539008140564
0,0.1,True,0.9906482100486755,1280,224.64826941490173
1,0.1,True,0.9904356598854065,2300,393.62081265449524
2,0.1,True,0.9902231693267822,1280,222.3123962879181
3,0.1,True,0.9921360015869141,1260,222.92268180847168
4,0.1,True,0.9914984107017517,910,157.99563360214233
5,0.1,True,0.991710901260376,1070,189.44294214248657
6,0.1,True,0.9927735924720764,1240,219.81477618217468
7,0.1,True,1.0,1750,312.9229760169983
8,0.1,True,0.991923451423645,1500,267.72960019111633
9,0.1,True,1.0,1630,284.7210988998413
0,0.3,True,1.0,560,98.10978889465332
1,0.3,True,1.0,670,114.19678330421448
2,0.3,True,0.9923485517501831,580,96.75407314300537
3,0.3,True,1.0,560,83.91357827186584
4,0.3,True,1.0,560,91.40116381645203
5,0.3,True,1.0,560,93.20597171783447
6,0.3,True,1.0,560,90.13125491142273
7,0.3,True,1.0,560,94.68029022216797
8,0.3,True,0.9951115846633911,580,96.9423987865448
9,0.3,True,1.0,560,93.04865097999573
0,1.0,True,1.0,560,96.03263425827026
1,1.0,True,1.0,560,95.1311764717102
2,1.0,True,1.0,560,95.2586042881012
3,1.0,True,1.0,560,90.39356136322021
4,1.0,True,1.0,560,90.49274969100952
5,1.0,True,1.0,560,91.19813442230225
6,1.0,True,1.0,560,86.46851420402527
7,1.0,True,1.0,560,94.37307786941528
8,1.0,True,1.0,560,94.48047423362732
9,1.0,True,1.0,560,88.0494875907898
